"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","1999","1999","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2000","2000","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2001","2001","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2002","2002","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2003","2003","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2004","2004","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2005","2005","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2006","2006","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2007","2007","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2008","2008","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2009","2009","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2010","2010","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2011","2011","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1990","1990","WEEK","Weeks","0","Units",,,0,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1991","1991","WEEK","Weeks","0","Units",,,0,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1992","1992","WEEK","Weeks","0","Units",,,0,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1993","1993","WEEK","Weeks","0","Units",,,0,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1994","1994","WEEK","Weeks","0","Units",,,0,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1995","1995","WEEK","Weeks","0","Units",,,0,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1996","1996","WEEK","Weeks","0","Units",,,0,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1997","1997","WEEK","Weeks","0","Units",,,0,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1998","1998","WEEK","Weeks","0","Units",,,13,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1999","1999","WEEK","Weeks","0","Units",,,13,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2000","2000","WEEK","Weeks","0","Units",,,13,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2001","2001","WEEK","Weeks","0","Units",,,13,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2002","2002","WEEK","Weeks","0","Units",,,13,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2003","2003","WEEK","Weeks","0","Units",,,13,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2004","2004","WEEK","Weeks","0","Units",,,13,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2005","2005","WEEK","Weeks","0","Units",,,13,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2006","2006","WEEK","Weeks","0","Units",,,13,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2007","2007","WEEK","Weeks","0","Units",,,13,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2008","2008","WEEK","Weeks","0","Units",,,13,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2009","2009","WEEK","Weeks","0","Units",,,13,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2010","2010","WEEK","Weeks","0","Units",,,13,,
"BEL","Belgium","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2011","2011","WEEK","Weeks","0","Units",,,13,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","1990","1990","WEEK","Weeks","0","Units",,,14,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","1991","1991","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","1992","1992","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","1993","1993","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","1994","1994","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","1995","1995","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","1996","1996","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","1997","1997","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","1998","1998","WEEK","Weeks","0","Units",,,28,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","1999","1999","WEEK","Weeks","0","Units",,,28,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2000","2000","WEEK","Weeks","0","Units",,,28,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2001","2001","WEEK","Weeks","0","Units",,,28,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2002","2002","WEEK","Weeks","0","Units",,,28,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2003","2003","WEEK","Weeks","0","Units",,,28,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2004","2004","WEEK","Weeks","0","Units",,,28,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2005","2005","WEEK","Weeks","0","Units",,,28,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2006","2006","WEEK","Weeks","0","Units",,,28,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2007","2007","WEEK","Weeks","0","Units",,,28,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2008","2008","WEEK","Weeks","0","Units",,,28,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2009","2009","WEEK","Weeks","0","Units",,,28,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2010","2010","WEEK","Weeks","0","Units",,,28,,
"BEL","Belgium","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2011","2011","WEEK","Weeks","0","Units",,,28,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","1990","1990","WEEK","Weeks","0","Units",,,0.6,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","1991","1991","WEEK","Weeks","0","Units",,,0.6,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","1992","1992","WEEK","Weeks","0","Units",,,0.6,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","1993","1993","WEEK","Weeks","0","Units",,,0.6,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","1994","1994","WEEK","Weeks","0","Units",,,0.6,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","1995","1995","WEEK","Weeks","0","Units",,,0.6,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","1996","1996","WEEK","Weeks","0","Units",,,0.6,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","1997","1997","WEEK","Weeks","0","Units",,,0.6,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","1998","1998","WEEK","Weeks","0","Units",,,13.6,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","1999","1999","WEEK","Weeks","0","Units",,,13.6,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2000","2000","WEEK","Weeks","0","Units",,,13.6,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2001","2001","WEEK","Weeks","0","Units",,,13.6,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2002","2002","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2003","2003","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2004","2004","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2005","2005","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2006","2006","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2007","2007","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2008","2008","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2009","2009","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2010","2010","WEEK","Weeks","0","Units",,,15,,
"BEL","Belgium","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2011","2011","WEEK","Weeks","0","Units",,,15,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","1990","1990","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","1991","1991","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","1992","1992","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","1993","1993","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","1994","1994","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","1995","1995","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","1996","1996","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","1997","1997","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","1998","1998","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","1999","1999","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2000","2000","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2001","2001","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2002","2002","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2003","2003","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2004","2004","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2005","2005","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2006","2006","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2007","2007","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2008","2008","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2009","2009","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2010","2010","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2011","2011","WEEK","Weeks","0","Units",,,17,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1990","1990","WEEK","Weeks","0","Units",,,0,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1991","1991","WEEK","Weeks","0","Units",,,10,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1992","1992","WEEK","Weeks","0","Units",,,10,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1993","1993","WEEK","Weeks","0","Units",,,10,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1994","1994","WEEK","Weeks","0","Units",,,10,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1995","1995","WEEK","Weeks","0","Units",,,10,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1996","1996","WEEK","Weeks","0","Units",,,10,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1997","1997","WEEK","Weeks","0","Units",,,10,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1998","1998","WEEK","Weeks","0","Units",,,10,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","1999","1999","WEEK","Weeks","0","Units",,,10,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2000","2000","WEEK","Weeks","0","Units",,,10,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2001","2001","WEEK","Weeks","0","Units",,,35,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2002","2002","WEEK","Weeks","0","Units",,,35,,
"CAN","Canada","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2003","2003","WEEK","Weeks","0","Units",,,35,,
